Image,Dataset,Sigma,Best_Method,Worst_Method
test006.png,BSD68,50,original,tv
test007.png,BSD68,50,original,tv
test008.png,BSD68,50,original,tv
test009.png,BSD68,50,original,tv
test010.png,BSD68,50,l0,tv
test011.png,BSD68,50,original,tv
test012.png,BSD68,50,original,tv
test013.png,BSD68,50,original,tv
test014.png,BSD68,50,original,tv
test015.png,BSD68,50,original,tv
test016.png,BSD68,50,original,tv
test017.png,BSD68,50,original,tv
test018.png,BSD68,50,original,tv
test019.png,BSD68,50,original,tv
test020.png,BSD68,50,original,tv
test021.png,BSD68,50,original,tv
test022.png,BSD68,50,original,tv
test023.png,BSD68,50,original,tv
test024.png,BSD68,50,original,tv
test025.png,BSD68,50,original,tv
test026.png,BSD68,50,original,tv
test027.png,BSD68,50,original,tv
test028.png,BSD68,50,original,tv
test029.png,BSD68,50,original,tv
test030.png,BSD68,50,l0,tv
test031.png,BSD68,50,guided,tv
test032.png,BSD68,50,original,tv
test033.png,BSD68,50,original,tv
test034.png,BSD68,50,original,tv
test035.png,BSD68,50,original,tv
test036.png,BSD68,50,l0,tv
test037.png,BSD68,50,original,tv
test038.png,BSD68,50,original,tv
test039.png,BSD68,50,original,tv
test040.png,BSD68,50,l0,tv
test041.png,BSD68,50,original,tv
test042.png,BSD68,50,l0,tv
test043.png,BSD68,50,original,tv
test044.png,BSD68,50,original,tv
test045.png,BSD68,50,l0,tv
test046.png,BSD68,50,original,tv
test047.png,BSD68,50,l0,tv
test048.png,BSD68,50,original,tv
test049.png,BSD68,50,original,tv
test050.png,BSD68,50,original,tv
test051.png,BSD68,50,l0,tv
test052.png,BSD68,50,original,tv
test053.png,BSD68,50,l0,tv
test054.png,BSD68,50,original,tv
test055.png,BSD68,50,original,tv
test056.png,BSD68,50,guided,tv
test057.png,BSD68,50,original,tv
test058.png,BSD68,50,l0,tv
test059.png,BSD68,50,original,tv
test060.png,BSD68,50,l0,tv
test061.png,BSD68,50,original,tv
test062.png,BSD68,50,original,tv
test063.png,BSD68,50,original,tv
test064.png,BSD68,50,original,tv
test065.png,BSD68,50,original,tv
test066.png,BSD68,50,l0,tv
test067.png,BSD68,50,original,tv
test068.png,BSD68,50,original,tv
kodim01.png,Kodak24,10,bilateral,tv
kodim02.png,Kodak24,10,bilateral,tv
kodim03.png,Kodak24,10,bilateral,tv
kodim04.png,Kodak24,10,bilateral,tv
kodim05.png,Kodak24,10,bilateral,tv
kodim06.png,Kodak24,10,bilateral,tv
kodim07.png,Kodak24,10,bilateral,tv
kodim08.png,Kodak24,10,bilateral,tv
kodim09.png,Kodak24,10,bilateral,tv
kodim10.png,Kodak24,10,bilateral,tv
kodim11.png,Kodak24,10,bilateral,tv
kodim12.png,Kodak24,10,bilateral,tv
kodim13.png,Kodak24,10,bilateral,tv
kodim14.png,Kodak24,10,bilateral,tv
kodim15.png,Kodak24,10,bilateral,tv
kodim16.png,Kodak24,10,bilateral,tv
kodim17.png,Kodak24,10,bilateral,tv
kodim18.png,Kodak24,10,bilateral,tv
kodim19.png,Kodak24,10,bilateral,tv
kodim20.png,Kodak24,10,bilateral,tv
kodim21.png,Kodak24,10,bilateral,tv
kodim22.png,Kodak24,10,bilateral,tv
kodim23.png,Kodak24,10,bilateral,tv
kodim24.png,Kodak24,10,bilateral,tv
kodim01.png,Kodak24,20,bilateral,tv
kodim02.png,Kodak24,20,lgss,tv
kodim03.png,Kodak24,20,lgss,tv
kodim04.png,Kodak24,20,guided,tv
kodim05.png,Kodak24,20,bilateral,tv
kodim06.png,Kodak24,20,bilateral,tv
kodim07.png,Kodak24,20,bilateral,tv
kodim08.png,Kodak24,20,bilateral,tv
kodim09.png,Kodak24,20,lgss,tv
kodim10.png,Kodak24,20,lgss,tv
kodim11.png,Kodak24,20,bilateral,tv
kodim12.png,Kodak24,20,bilateral,tv
kodim13.png,Kodak24,20,bilateral,tv
kodim14.png,Kodak24,20,bilateral,tv
kodim15.png,Kodak24,20,bilateral,tv
kodim16.png,Kodak24,20,guided,tv
kodim17.png,Kodak24,20,bilateral,tv
kodim18.png,Kodak24,20,bilateral,tv
kodim19.png,Kodak24,20,bilateral,tv
kodim20.png,Kodak24,20,bilateral,tv
kodim21.png,Kodak24,20,bilateral,tv
kodim22.png,Kodak24,20,bilateral,tv
kodim23.png,Kodak24,20,bilateral,tv
kodim24.png,Kodak24,20,bilateral,tv
kodim01.png,Kodak24,25,bilateral,tv
kodim02.png,Kodak24,25,lgss,tv
kodim03.png,Kodak24,25,lgss,tv
kodim04.png,Kodak24,25,lgss,tv
kodim05.png,Kodak24,25,bilateral,tv
kodim06.png,Kodak24,25,guided,tv
kodim07.png,Kodak24,25,lgss,tv
kodim08.png,Kodak24,25,bilateral,tv
kodim09.png,Kodak24,25,lgss,tv
kodim10.png,Kodak24,25,lgss,tv
kodim11.png,Kodak24,25,lgss,tv
kodim12.png,Kodak24,25,guided,tv
kodim13.png,Kodak24,25,bilateral,tv
kodim14.png,Kodak24,25,bilateral,tv
kodim15.png,Kodak24,25,guided,tv
kodim16.png,Kodak24,25,guided,tv
kodim17.png,Kodak24,25,lgss,tv
kodim18.png,Kodak24,25,guided,tv
kodim19.png,Kodak24,25,lgss,tv
kodim20.png,Kodak24,25,bilateral,tv
kodim21.png,Kodak24,25,lgss,tv
kodim22.png,Kodak24,25,lgss,tv
kodim23.png,Kodak24,25,lgss,tv
kodim24.png,Kodak24,25,lgss,tv
kodim01.png,Kodak24,50,l0,tv
kodim02.png,Kodak24,50,l0,tv
kodim03.png,Kodak24,50,l0,tv
kodim04.png,Kodak24,50,original,tv
kodim05.png,Kodak24,50,original,tv
kodim06.png,Kodak24,50,original,tv
kodim07.png,Kodak24,50,original,tv
kodim08.png,Kodak24,50,original,tv
kodim09.png,Kodak24,50,l0,tv
kodim10.png,Kodak24,50,l0,tv
kodim11.png,Kodak24,50,original,tv
kodim12.png,Kodak24,50,original,tv
kodim13.png,Kodak24,50,original,tv
kodim14.png,Kodak24,50,original,tv
kodim15.png,Kodak24,50,original,tv
kodim16.png,Kodak24,50,l0,tv
kodim17.png,Kodak24,50,original,tv
kodim18.png,Kodak24,50,original,tv
kodim19.png,Kodak24,50,original,tv
kodim20.png,Kodak24,50,original,tv
kodim21.png,Kodak24,50,l0,tv
kodim22.png,Kodak24,50,l0,tv
kodim23.png,Kodak24,50,original,tv
kodim24.png,Kodak24,50,l0,tv
01.png,Set12,10,bilateral,tv
02.png,Set12,10,bilateral,tv
03.png,Set12,10,bilateral,tv
04.png,Set12,10,bilateral,tv
05.png,Set12,10,bilateral,tv
06.png,Set12,10,bilateral,tv
07.png,Set12,10,bilateral,tv
08.png,Set12,10,bilateral,tv
09.png,Set12,10,bilateral,original
10.png,Set12,10,bilateral,tv
11.png,Set12,10,bilateral,tv
12.png,Set12,10,bilateral,tv
01.png,Set12,20,bilateral,tv
02.png,Set12,20,lgss,tv
03.png,Set12,20,bilateral,tv
04.png,Set12,20,bilateral,tv
05.png,Set12,20,bilateral,tv
06.png,Set12,20,bilateral,tv
07.png,Set12,20,bilateral,tv
08.png,Set12,20,bilateral,tv
09.png,Set12,20,bilateral,tv
10.png,Set12,20,bilateral,tv
11.png,Set12,20,bilateral,tv
12.png,Set12,20,bilateral,tv
01.png,Set12,25,lgss,tv
02.png,Set12,25,lgss,tv
03.png,Set12,25,lgss,tv
04.png,Set12,25,bilateral,tv
05.png,Set12,25,lgss,tv
06.png,Set12,25,lgss,tv
07.png,Set12,25,bilateral,tv
08.png,Set12,25,guided,tv
09.png,Set12,25,guided,tv
10.png,Set12,25,lgss,tv
11.png,Set12,25,lgss,tv
12.png,Set12,25,lgss,tv
01.png,Set12,50,original,tv
02.png,Set12,50,l0,tv
03.png,Set12,50,original,tv
04.png,Set12,50,original,tv
05.png,Set12,50,original,tv
06.png,Set12,50,original,tv
07.png,Set12,50,original,tv
08.png,Set12,50,original,tv
09.png,Set12,50,original,tv
10.png,Set12,50,original,tv
11.png,Set12,50,original,tv
12.png,Set12,50,original,tv
custom_01.png,custom,10,bilateral,original
custom_02.png,custom,10,bilateral,tv
custom_03.png,custom,10,bilateral,tv
custom_01.png,custom,20,bilateral,tv
custom_02.png,custom,20,bilateral,tv
custom_03.png,custom,20,bilateral,tv
custom_01.png,custom,25,lgss,tv
custom_02.png,custom,25,lgss,tv
custom_03.png,custom,25,guided,tv
custom_01.png,custom,50,original,tv
custom_02.png,custom,50,original,tv
custom_03.png,custom,50,original,tv
