dataset,sigma,method,mean_psnr,std_psnr,mean_ssim,std_ssim,mean_runtime,std_runtime,num_samples
Kodak24,20,original,20.2962148155553,1.24320151770195,0.567368112289627,0.120297268708546,10.9746965583333,7.6092809561661,24
Kodak24,20,tv,16.8806959439708,0.256979518775652,0.220038174445833,0.0951644935115938,1.90139073333333,0.491574127787986,24
Kodak24,25,adaptive,23.5659752183742,0.794096109930457,0.54085516124771,0.0806948297252645,10.6791213125,6.00646958387578,24
Kodak24,25,bilateral,24.4430295660427,0.714007595790219,0.500089505824183,0.0886021556795409,1.68404385833333,0.964504257518247,24
Kodak24,25,guided,24.4925075985205,0.822708241104547,0.501954727332287,0.08506941641788,0.0367365541666667,0.0427586461771385,24
Kodak24,25,l0,22.4483046991258,1.24370777926714,0.630085299117456,0.100951941311258,5.13912172083333,3.356528117963,24
Kodak24,25,lgss,24.7863777980875,1.24941933783384,0.703539899241667,0.0608666414622338,5.28186364583333,0.896800658655992,24
Kodak24,25,original,20.5984875954559,1.16237736224528,0.57853369324102,0.114438408106495,10.3857485208333,6.54219887505976,24
Kodak24,25,tv,16.2322276359125,0.270224508480984,0.201006131025,0.0892932452620456,1.74593215416667,0.274207816016456,24
Kodak24,50,adaptive,14.8806425510686,0.419081200921602,0.170134324243149,0.0770321391846792,11.4577795458333,8.54391079419401,24
Kodak24,50,bilateral,16.307427050139,0.361971743190015,0.191817675958706,0.0794428763959745,1.8239449375,1.47847677186921,24
Kodak24,50,guided,16.709844064912,0.409213740428656,0.199091174660623,0.0795659550270016,0.0356562458333333,0.0472808807192853,24
Kodak24,50,l0,17.2627110148564,0.506286212521053,0.241276459082334,0.0840959410918052,4.9584027625,3.29483102722443,24
Kodak24,50,lgss,15.8270053816375,0.56402081787481,0.23161888355,0.112367902191051,5.14162792916667,0.899524916158234,24
Kodak24,50,original,17.3744480451693,0.688865035785372,0.293273075802404,0.110785208227469,9.65783115833333,5.85482476091988,24
Kodak24,50,tv,12.9961117851,0.32089278570978,0.12152089105,0.0619251370205545,2.09375805,0.917893587816868,24
Set12,10,adaptive,22.2875168005449,1.57967889401074,0.676287691548515,0.075743549832402,3.758673925,2.5851035930776,12
Set12,10,bilateral,31.4021869287119,0.859076034416036,0.878042298419129,0.0268254035022073,0.666418841666667,0.533312350902255,12
Set12,10,guided,29.798966976818,0.880762212633023,0.854492847299295,0.0265685092261195,0.0414026333333333,0.0794871453814141,12
Set12,10,l0,22.2749365273834,1.44754615063231,0.650860534422441,0.0887893654729665,1.68033609166667,1.2830544053307,12
Set12,10,lgss,24.9752331847167,1.28797801613341,0.750488262141667,0.0568316277090907,2.566235175,2.05474635949825,12
Set12,10,original,18.843203563219,1.31162225056059,0.550112170911967,0.0942455617554245,4.17283063333333,2.7063841896907,12
Set12,10,tv,17.4250198623,0.273075957511526,0.270534769516667,0.0580579700178123,0.845874916666667,0.791439023598062,12
Set12,20,adaptive,24.7893455101743,0.931610541350424,0.724360979172967,0.052866787832253,4.420021775,3.36816455807299,12
Set12,20,bilateral,26.7658731274487,0.500546484420927,0.662104370868942,0.038543378062626,0.667515933333333,0.507035327010458,12
Set12,20,guided,26.2349764525844,0.633365568701132,0.6469163120025,0.0324522678651639,0.0107038833333333,0.00758592976956601,12
Set12,20,l0,22.5008385401,1.34720799209013,0.661129867747546,0.0826027214262384,1.83570545833333,1.2289802794798,12
Set12,20,lgss,25.4341336624583,1.17700999898118,0.7706965662,0.0468864741202645,2.89286126666667,2.49515468009909,12
Set12,20,original,19.4310001518772,1.40567623164126,0.570126768790682,0.0941021799647602,3.562981525,2.65294141255693,12
Set12,20,tv,16.9179065008167,0.21214483708794,0.254047279616667,0.0545191226937539,1.36434461666667,1.99690875926784,12
Set12,25,adaptive,23.5163768393601,0.370750338100721,0.572977899717362,0.0545584954559727,4.02526974166667,2.63061517763746,12
Set12,25,bilateral,24.1937993180708,0.33437490538892,0.526725747853639,0.0511747879654368,0.633360833333333,0.428086640534792,12
Set12,25,guided,24.0551888377307,0.444833952319007,0.520470200326945,0.0464564819562666,0.0103744166666667,0.006695670814222,12
Set12,25,l0,22.6920763052924,1.22398604827463,0.664580059040581,0.0749026020810506,1.61920724166667,0.926283830061327,12
Set12,25,lgss,24.4600231881167,0.833181936492737,0.735754095383333,0.0530771747674826,2.680002425,2.20804954586692,12
Set12,25,original,19.886177595691,1.45873515037684,0.587501872043568,0.0917383150023614,3.64285200833333,2.30933270242923,12
Set12,25,tv,16.2673565239583,0.206483422427897,0.234063215516667,0.0524882919084947,0.8710072,0.752436292160109,12
Set12,50,adaptive,14.864537869916,0.229509229111683,0.196955284383602,0.0490976142488492,3.79929771666667,2.15589726853856,12
Set12,50,bilateral,16.2393974216872,0.167363945311379,0.222276470661369,0.0501927782116377,0.627679633333333,0.423226943242138,12
Set12,50,guided,16.6049970109772,0.180770045904596,0.227336093150908,0.0498648107040542,0.0139710083333333,0.0137813998822166,12
Set12,50,l0,17.2112393416552,0.265438791319727,0.273863266354418,0.0575121383775061,1.71121456666667,0.970886956411666,12
Set12,50,lgss,15.9549562344333,0.439916199294607,0.261710286741667,0.0720381212104184,2.48982595833333,2.01310433188703,12
Set12,50,original,17.3752653498259,0.364522154531287,0.328719706223168,0.072103512870799,3.23515139166667,1.97145968064019,12
Set12,50,tv,13.0036958501167,0.219420299533901,0.146604495425,0.0411330687849819,0.866688591666667,0.780528148699759,12
custom,10,adaptive,23.0877870359802,2.78485839387694,0.727062903756949,0.0623755630456362,3.8727158,4.08025284516126,3
custom,10,bilateral,31.8713745365931,0.876769087455197,0.896334795883101,0.0222628301901581,0.4415553,0.35429011787456,3
custom,10,guided,30.2345471608184,1.20351544063859,0.874129403710192,0.0149677568921366,0.0460505333333333,0.0449842004170724,3
custom,10,l0,23.0833365282832,1.4509382214999,0.720720437781518,0.0439952549557333,1.23226443333333,0.88237817325023,3
custom,10,lgss,24.32385045945,1.11325472615193,0.77863783525,0.0403782288752617,3.1252678,2.73010336113678,2
custom,10,original,20.1009368545686,1.74367607689943,0.64066688272335,0.0575211907704031,3.48668073333333,2.70727111921943,3
custom,10,tv,17.2422862473,0.203960272814796,0.26399576635,0.123554801020853,0.98281415,1.0382668778371,2
custom,20,adaptive,25.2501269411871,1.08988874239884,0.762649866028442,0.0391680097849885,3.09068606666667,2.15637285421878,3
custom,20,bilateral,27.0602002979572,0.601141200657875,0.665649312203661,0.0567800177146697,0.504078866666667,0.429370100599359,3
custom,20,guided,26.3199850236673,1.08107117826234,0.646930083948572,0.04093682810676,0.00828753333333333,0.00352172249095998,3
custom,20,l0,23.34151000714,1.13590522091445,0.727783198041081,0.0369823669206896,1.3218625,0.961828282909673,3
custom,20,lgss,25.4217084557,1.45227761280803,0.8099942679,0.0370089955529512,2.41613463333333,1.8147020244578,3
custom,20,original,20.7165631432842,2.01030345146041,0.659229718115125,0.0584595761423572,2.55729543333333,1.96352275048777,3
custom,20,tv,16.9272563439667,0.262266355871968,0.252114947166667,0.0836523593277197,0.720008633333333,0.728325101104283,3
custom,25,adaptive,23.7604121030219,0.471226568095696,0.584949263162295,0.0678576491009055,2.8371129,2.31455662267945,3
custom,25,bilateral,24.3801490829967,0.47154910207767,0.524872623033735,0.0749791424968187,0.458297533333333,0.474127312052494,3
custom,25,guided,24.0670235082024,0.814714774539708,0.5144990614802,0.0613512670655655,0.00737083333333333,0.0046486406360713,3
custom,25,l0,23.5037328678234,1.00213150727617,0.728274567180436,0.0302853684419487,1.97505816666667,2.20065833203369,3
custom,25,lgss,24.6281272074667,0.792821808912114,0.7798283866,0.040468467249655,2.1323675,2.20997410722045,3
custom,25,original,21.1254263477868,2.11646574430219,0.671957732780994,0.0611921753753842,2.5524933,1.92979260351557,3
custom,25,tv,16.2757366314333,0.230173286626432,0.234018423133333,0.0808901171308734,0.682251766666667,0.818564572034646,3
custom,50,adaptive,14.8814173651638,0.219643626378167,0.20137079979568,0.0748686965630745,2.73678566666667,2.26194114135952,3
custom,50,bilateral,16.2471700121933,0.173817292660627,0.225033701720497,0.0770387870353171,0.4774626,0.491471763186411,3
custom,50,guided,16.5749985813745,0.200670276972777,0.22805779603915,0.0745507945914185,0.00821003333333333,0.00612047717448022,3
custom,50,l0,17.292198848138,0.102779297624687,0.282443327212629,0.0795543655424868,1.3263118,0.992088591067486,3
custom,50,lgss,16.0497744334,0.32792338692447,0.2677760025,0.082099187189704,2.14029563333333,2.17173974518911,3
custom,50,original,17.3860162895315,0.0349886171829431,0.329022512481482,0.0778026607412244,3.2039622,3.25047319432552,3
custom,50,tv,13.0124321763667,0.168281000183882,0.152906776233333,0.0638262029282351,1.04200943333333,1.39958155083968,3
