dataset,image,sigma,method,mean_psnr,std_psnr,mean_ssim,std_ssim,num_samples
BSD68,test010.png,20,adaptive,23.9206124629482,0,0.63521058659619,0,1
BSD68,test010.png,20,bilateral,27.0104949110639,0,0.620964192660417,0,1
BSD68,test010.png,20,guided,26.8126330348576,0,0.613625741489578,0,1
BSD68,test010.png,20,l0,20.4515513438485,0,0.563980328015829,0,1
BSD68,test010.png,20,lgss,25.4022739367,0,0.7238390501,0,1
BSD68,test010.png,20,original,19.5582085897146,0,0.520808142611591,0,1
BSD68,test010.png,20,tv,16.6611209935,0,0.1886434881,0,1
BSD68,test010.png,25,adaptive,23.4584542682464,0,0.498763529280599,0,1
BSD68,test010.png,25,bilateral,24.367974432246,0,0.474789433740484,0,1
BSD68,test010.png,25,guided,24.4710590174123,0,0.474223090809194,0,1
BSD68,test010.png,25,l0,21.4318996989222,0,0.573728875878609,0,1
BSD68,test010.png,25,lgss,24.1338932857,0,0.6601563642,0,1
BSD68,test010.png,25,original,19.7397808279198,0,0.528344165579759,0,1
BSD68,test010.png,25,tv,16.011712823,0,0.1696317141,0,1
BSD68,test010.png,50,adaptive,14.6204161874195,0,0.135726836592833,0,1
BSD68,test010.png,50,bilateral,16.1179047615517,0,0.161096498848056,0,1
BSD68,test010.png,50,guided,16.5000978537853,0,0.166102120218592,0,1
BSD68,test010.png,50,l0,17.1072898459373,0,0.197344261339348,0,1
BSD68,test010.png,50,lgss,15.4043337666,0,0.1697813338,0,1
BSD68,test010.png,50,original,17.0705129026551,0,0.231411091029646,0,1
BSD68,test010.png,50,tv,12.7788334491,0,0.0947780288,0,1
BSD68,test011.png,10,adaptive,22.7258715338195,0,0.622136073599636,0,1
BSD68,test011.png,10,bilateral,29.7962946357521,0,0.884542760326574,0,1
BSD68,test011.png,10,guided,28.224184174816,0,0.850132809738274,0,1
BSD68,test011.png,10,l0,21.1642855781567,0,0.54475097227574,0,1
BSD68,test011.png,10,lgss,25.1999699178,0,0.7366181706,0,1
BSD68,test011.png,10,original,19.2568723290093,0,0.472937124978408,0,1
BSD68,test011.png,10,tv,17.9209554733,0,0.391444148,0,1
BSD68,test011.png,20,adaptive,24.6045373155909,0,0.734297597203592,0,1
BSD68,test011.png,20,bilateral,26.0242049267802,0,0.736016623853401,0,1
BSD68,test011.png,20,guided,25.2127678476442,0,0.704757735163964,0,1
BSD68,test011.png,20,l0,21.4219788432843,0,0.562197325052076,0,1
BSD68,test011.png,20,lgss,25.0494972731,0,0.7493457959,0,1
BSD68,test011.png,20,original,19.876061552612,0,0.48774394910174,0,1
BSD68,test011.png,20,tv,17.3249418677,0,0.3663761069,0,1
BSD68,test011.png,25,adaptive,23.1236774189361,0,0.663724990737183,0,1
BSD68,test011.png,25,bilateral,23.8687452595927,0,0.633214619723327,0,1
BSD68,test011.png,25,guided,23.4566432075876,0,0.613128450323775,0,1
BSD68,test011.png,25,l0,21.6161213583475,0,0.579432763056647,0,1
BSD68,test011.png,25,lgss,24.0255635837,0,0.7240932108,0,1
BSD68,test011.png,25,original,20.1465928218442,0,0.500180593160206,0,1
BSD68,test011.png,25,tv,16.6808007631,0,0.3411778899,0,1
BSD68,test011.png,50,adaptive,15.4208621149854,0,0.299166732907565,0,1
BSD68,test011.png,50,bilateral,16.6083060332821,0,0.324087087628274,0,1
BSD68,test011.png,50,guided,16.9761839868091,0,0.329229790436731,0,1
BSD68,test011.png,50,l0,17.5644223233969,0,0.371477250116525,0,1
BSD68,test011.png,50,lgss,16.4821639451,0,0.3790382464,0,1
BSD68,test011.png,50,original,17.9948986331608,0,0.429954470800288,0,1
BSD68,test011.png,50,tv,13.5138651503,0,0.2253741245,0,1
BSD68,test012.png,10,adaptive,21.4718725393841,0,0.46842853293848,0,1
BSD68,test012.png,10,bilateral,29.5831307054216,0,0.821668206419811,0,1
BSD68,test012.png,10,guided,28.1841541074196,0,0.790689381072871,0,1
BSD68,test012.png,10,l0,20.5301848032705,0,0.416432180190581,0,1
BSD68,test012.png,10,lgss,25.5077509713,0,0.654785691,0,1
BSD68,test012.png,10,original,19.161126956275,0,0.352911856627041,0,1
BSD68,test012.png,10,tv,17.1993058892,0,0.2821042307,0,1
BSD68,test012.png,20,adaptive,24.3395307211857,0,0.601805859537369,0,1
BSD68,test012.png,20,bilateral,26.0861732305317,0,0.666652898589065,0,1
BSD68,test012.png,20,guided,25.7572112717939,0,0.649971135995221,0,1
BSD68,test012.png,20,l0,21.126140584059,0,0.447088059003008,0,1
BSD68,test012.png,20,lgss,25.4338107843,0,0.6818196829,0,1
BSD68,test012.png,20,original,19.4026619214915,0,0.365857202417699,0,1
BSD68,test012.png,20,tv,16.7094803209,0,0.2628645994,0,1
BSD68,test012.png,25,adaptive,22.8845869838614,0,0.548170977914966,0,1
BSD68,test012.png,25,bilateral,23.7836678443176,0,0.549285644747987,0,1
BSD68,test012.png,25,guided,23.8000359899003,0,0.542771241945002,0,1
BSD68,test012.png,25,l0,21.5192291867617,0,0.465303200111914,0,1
BSD68,test012.png,25,lgss,23.7232610464,0,0.6270031296,0,1
BSD68,test012.png,25,original,19.7942303347695,0,0.380697794909235,0,1
BSD68,test012.png,25,tv,16.0498567006,0,0.2383773433,0,1
BSD68,test012.png,50,adaptive,14.6338546465786,0,0.194681711998242,0,1
BSD68,test012.png,50,bilateral,16.0463820279406,0,0.223838352058183,0,1
BSD68,test012.png,50,guided,16.4122286173689,0,0.229317140445087,0,1
BSD68,test012.png,50,l0,16.8559257144702,0,0.251938225503161,0,1
BSD68,test012.png,50,lgss,15.1999837411,0,0.2211698191,0,1
BSD68,test012.png,50,original,16.9282015782434,0,0.296552898431035,0,1
BSD68,test012.png,50,tv,12.7968056126,0,0.1365490668,0,1
BSD68,test013.png,10,adaptive,19.5731361841329,0,0.478341375478224,0,1
BSD68,test013.png,10,bilateral,30.6360196142068,0,0.841193021313892,0,1
BSD68,test013.png,10,guided,29.4476324919037,0,0.815131867371362,0,1
BSD68,test013.png,10,l0,20.4397920071258,0,0.486623473069529,0,1
BSD68,test013.png,10,lgss,23.5597605198,0,0.6082519264,0,1
BSD68,test013.png,10,original,17.3292139191362,0,0.434005706499596,0,1
BSD68,test013.png,10,tv,17.1077049252,0,0.2119326707,0,1
BSD68,test013.png,20,adaptive,23.2058552539406,0,0.573575830235509,0,1
BSD68,test013.png,20,bilateral,26.7579826340011,0,0.633818930978745,0,1
BSD68,test013.png,20,guided,26.6275157553172,0,0.626496579944576,0,1
BSD68,test013.png,20,l0,20.81166923716,0,0.499306341956051,0,1
BSD68,test013.png,20,lgss,24.973300432,0,0.6845456102,0,1
BSD68,test013.png,20,original,18.0047687133618,0,0.442394740197928,0,1
BSD68,test013.png,20,tv,16.6516347962,0,0.1967044332,0,1
BSD68,test013.png,25,adaptive,23.389474368468,0,0.512122669075134,0,1
BSD68,test013.png,25,bilateral,24.228705004156,0,0.494780783654934,0,1
BSD68,test013.png,25,guided,24.375666337741,0,0.494884603659533,0,1
BSD68,test013.png,25,l0,21.024735042946,0,0.508457564359177,0,1
BSD68,test013.png,25,lgss,23.9319365084,0,0.6288423336,0,1
BSD68,test013.png,25,original,18.0727473259155,0,0.445288070816081,0,1
BSD68,test013.png,25,tv,16.0124536455,0,0.1765283536,0,1
BSD68,test013.png,50,adaptive,14.5867880665389,0,0.140729591743439,0,1
BSD68,test013.png,50,bilateral,16.0714513627547,0,0.168104722216806,0,1
BSD68,test013.png,50,guided,16.4464752559403,0,0.173664046466872,0,1
BSD68,test013.png,50,l0,16.9730105514331,0,0.196033574023536,0,1
BSD68,test013.png,50,lgss,15.1949664538,0,0.1620541978,0,1
BSD68,test013.png,50,original,16.9786216444178,0,0.235560428907043,0,1
BSD68,test013.png,50,tv,12.7335844409,0,0.0954882944,0,1
BSD68,test014.png,10,adaptive,21.9099023047104,0,0.68280065328781,0,1
BSD68,test014.png,10,bilateral,32.181532317756,0,0.874796553700567,0,1
BSD68,test014.png,10,guided,30.79440939956,0,0.857357236538975,0,1
BSD68,test014.png,10,l0,21.7884899126566,0,0.665839834378151,0,1
