dataset,image,sigma,realization,method,psnr,ssim,runtime
BSD68,test020.png,10,1,l0,22.0279248692707,0.703302513439252,3.4030206
BSD68,test020.png,10,1,lgss,25.6614332802,0.7962803481,4.1211347
BSD68,test020.png,10,1,original,19.0331727956895,0.642184528183704,6.6997016
BSD68,test020.png,10,1,tv,17.7231549627,0.2490750262,1.0641904
BSD68,test021.png,10,1,adaptive,23.845201210657,0.76100537594883,6.4426391
BSD68,test021.png,10,1,bilateral,29.1544432636382,0.909896972273401,0.7544874
BSD68,test021.png,10,1,guided,27.639525937479,0.883783684705943,0.0118291
BSD68,test021.png,10,1,l0,21.0246272074427,0.639702912493494,3.3676708
BSD68,test021.png,10,1,lgss,25.1740378755,0.7864718205,4.2680052
BSD68,test021.png,10,1,original,19.28258680041,0.534391391069131,6.9942895
BSD68,test021.png,10,1,tv,18.4048731264,0.4963376435,1.5397895
BSD68,test022.png,10,1,adaptive,22.3863389997741,0.569572461719064,5.7595083
BSD68,test022.png,10,1,bilateral,28.6809373878724,0.851203930877458,0.6218602
BSD68,test022.png,10,1,guided,27.3872533021022,0.829038539907081,0.0115945
BSD68,test022.png,10,1,l0,20.4999077547567,0.448171621141869,2.5884602
BSD68,test022.png,10,1,lgss,24.7245403384,0.6750453793,4.1518747
BSD68,test022.png,10,1,original,18.1240052235111,0.322640722846058,5.033975
BSD68,test022.png,10,1,tv,17.7616532879,0.4261965803,1.1415779
BSD68,test023.png,10,1,adaptive,21.8036992379609,0.617318771773595,7.2903054
BSD68,test023.png,10,1,bilateral,30.5543693362226,0.871680334812388,0.7960467
BSD68,test023.png,10,1,guided,29.0030852518571,0.843068192008903,0.0171695
BSD68,test023.png,10,1,l0,21.2986817857785,0.583300672258689,3.4492931
BSD68,test023.png,10,1,lgss,24.318712173,0.7095490054,4.1990905
BSD68,test023.png,10,1,original,18.6073669303817,0.478233667002738,6.5470986
BSD68,test023.png,10,1,tv,17.4716394848,0.2939653106,1.0765383
BSD68,test024.png,10,1,adaptive,20.8074105021965,0.557442068576955,5.0075934
BSD68,test024.png,10,1,bilateral,30.4449249343361,0.884182336557112,0.5850499
BSD68,test024.png,10,1,guided,28.9957456877435,0.859894872360667,0.013304
BSD68,test024.png,10,1,l0,20.7329060728002,0.528450866302653,2.4980431
BSD68,test024.png,10,1,lgss,23.4980636214,0.6788751386,4.1143649
BSD68,test024.png,10,1,original,18.7564648896208,0.435524536144794,4.6557999
BSD68,test024.png,10,1,tv,17.8806492278,0.3109376752,1.0799363
BSD68,test025.png,10,1,adaptive,22.4621262408241,0.777136487168807,6.83556
BSD68,test025.png,10,1,bilateral,31.2990777901777,0.920430750882546,0.9278008
BSD68,test025.png,10,1,guided,30.0307088342065,0.910996677693883,0.0177467
BSD68,test025.png,10,1,l0,21.4915396345687,0.71590112868411,3.3168704
BSD68,test025.png,10,1,lgss,24.2060607069,0.8468299269,4.2218665
BSD68,test025.png,10,1,original,18.9170966559117,0.634442407743914,8.3446239
BSD68,test025.png,10,1,tv,17.3556279262,0.2661312203,1.0771038
BSD68,test026.png,10,1,adaptive,21.2007574081976,0.538416118402147,7.4559408
BSD68,test026.png,10,1,bilateral,30.1393753646843,0.838749686247868,0.5970066
BSD68,test026.png,10,1,guided,28.9325321440473,0.816722503701761,0.0123754
BSD68,test026.png,10,1,l0,21.3600910352535,0.515883148763598,2.6432813
BSD68,test026.png,10,1,lgss,24.5019987019,0.6508808748,4.20583
BSD68,test026.png,10,1,original,18.038365253956,0.416793614465481,6.3082872
BSD68,test026.png,10,1,tv,17.4114053862,0.2810646259,1.0596091
BSD68,test027.png,10,1,adaptive,19.9973192997945,0.539851463026287,4.9983565
BSD68,test027.png,10,1,bilateral,31.1543845935967,0.850249886637395,0.5673993
BSD68,test027.png,10,1,guided,29.9874695072445,0.829888291738998,0.0100172
BSD68,test027.png,10,1,l0,20.4778429481621,0.524471765663431,2.6031365
BSD68,test027.png,10,1,lgss,24.608540659,0.6913597319,4.2566023
BSD68,test027.png,10,1,original,18.892260920426,0.484294768624269,4.6464575
BSD68,test027.png,10,1,tv,17.1435556014,0.2000813566,1.0769389
BSD68,test028.png,10,1,adaptive,27.9905591242599,0.807647309583655,5.399682
BSD68,test028.png,10,1,bilateral,33.776420181526,0.905785746385083,0.544375
BSD68,test028.png,10,1,guided,32.5725571822512,0.890491403848194,0.0096076
BSD68,test028.png,10,1,l0,27.4650329076403,0.794007492470225,3.1083615
BSD68,test028.png,10,1,lgss,30.383104355,0.8629941518,4.2765241
BSD68,test028.png,10,1,original,26.7528960849587,0.78495140004028,5.6768965
BSD68,test028.png,10,1,tv,19.2269882612,0.1736108411,1.0459351
BSD68,test029.png,10,1,adaptive,24.6900369076612,0.759761673445361,6.7638117
BSD68,test029.png,10,1,bilateral,27.9550993339764,0.899334251394201,0.734876
BSD68,test029.png,10,1,guided,27.1959339907869,0.889416516148887,0.017949
BSD68,test029.png,10,1,l0,20.0090350943579,0.562350891915182,3.1749045
BSD68,test029.png,10,1,lgss,24.6432727182,0.7486247928,4.2830899
BSD68,test029.png,10,1,original,19.4433159720082,0.510630765640512,7.4363182
BSD68,test029.png,10,1,tv,18.5870351163,0.5711990582,1.0700567
BSD68,test030.png,10,1,adaptive,21.8259572492217,0.545737386762995,5.0031536
BSD68,test030.png,10,1,bilateral,31.0881955816673,0.833301709499409,0.552665
BSD68,test030.png,10,1,guided,29.828693793433,0.804687564295458,0.0094973
BSD68,test030.png,10,1,l0,20.8011314256923,0.525337406216782,2.4400841
BSD68,test030.png,10,1,lgss,25.3115344946,0.6372721776,4.176555
BSD68,test030.png,10,1,original,19.9516453601472,0.48854288681663,4.6184031
BSD68,test030.png,10,1,tv,17.1291142973,0.1964748838,1.0783582
BSD68,test031.png,10,1,adaptive,23.5009907194901,0.707605059389664,4.8986339
BSD68,test031.png,10,1,bilateral,27.3959362895868,0.885121404461818,0.5728971
BSD68,test031.png,10,1,guided,26.3392537789571,0.866585952969555,0.0237555
BSD68,test031.png,10,1,l0,18.6370823022822,0.329968988080429,2.3638454
BSD68,test031.png,10,1,lgss,24.7881348535,0.7617312953,4.044413
BSD68,test031.png,10,1,original,17.2486855639129,0.212005719869935,4.3093796
BSD68,test031.png,10,1,tv,18.3691056426,0.5947958563,1.0479232
BSD68,test032.png,10,1,adaptive,20.6467418132687,0.449821578012751,5.5197804
BSD68,test032.png,10,1,bilateral,28.3273440463607,0.856556710727141,0.5391342
BSD68,test032.png,10,1,guided,27.0508106327811,0.83319000279163,0.0260424
BSD68,test032.png,10,1,l0,19.4756543715751,0.335333830307428,2.2676876
BSD68,test032.png,10,1,lgss,24.7414609917,0.6797394149,4.1527956
BSD68,test032.png,10,1,original,17.4167001577925,0.214841273270483,4.7312143
BSD68,test032.png,10,1,tv,17.4087745498,0.411547844,1.0516683
BSD68,test033.png,10,1,adaptive,24.0216950890187,0.794986685746378,4.5746
BSD68,test033.png,10,1,bilateral,30.5156526971697,0.916652392046593,0.5270626
BSD68,test033.png,10,1,guided,29.1150884730294,0.902387656936996,0.0117228
BSD68,test033.png,10,1,l0,21.8447317217001,0.709209916510423,2.2303155
BSD68,test033.png,10,1,lgss,26.2022353712,0.8482378863,4.1655547
BSD68,test033.png,10,1,original,18.8042157659058,0.572286145895419,4.2010387
BSD68,test033.png,10,1,tv,17.7178474436,0.3372017319,1.0458182
BSD68,test034.png,10,1,adaptive,21.2028570525834,0.709758097180384,4.4374163
BSD68,test034.png,10,1,bilateral,33.8655421562367,0.874052130077147,0.500024
BSD68,test034.png,10,1,guided,32.7453306868924,0.861401286877808,0.009109
BSD68,test034.png,10,1,l0,22.6559254744339,0.72154764886153,2.4014408
BSD68,test034.png,10,1,lgss,24.9363175733,0.7688558893,4.0536884
BSD68,test034.png,10,1,original,18.9063414530908,0.65090788205462,4.5107356
BSD68,test034.png,10,1,tv,17.419755059,0.1465570604,1.0717393
BSD68,test035.png,10,1,adaptive,21.1903714631319,0.556922783752785,4.6458655
BSD68,test035.png,10,1,bilateral,30.1507415618591,0.852133108080849,0.5294827
BSD68,test035.png,10,1,guided,28.886199926953,0.828012512154064,0.011035
BSD68,test035.png,10,1,l0,21.4293661217616,0.539552761991988,2.2957404
BSD68,test035.png,10,1,lgss,24.9303850618,0.6853770855,4.9506073
BSD68,test035.png,10,1,original,18.6769286589232,0.444833852289666,4.1869343
BSD68,test035.png,10,1,tv,17.4613425744,0.2903476288,1.0566858
BSD68,test036.png,10,1,adaptive,25.9116710389185,0.401914658856094,4.4122293
BSD68,test036.png,10,1,bilateral,29.3906045468038,0.690862967943757,0.5232851
BSD68,test036.png,10,1,guided,29.0882612927334,0.681870985634104,0.0100261
BSD68,test036.png,10,1,l0,25.078383706813,0.379687974143605,2.2334355
BSD68,test036.png,10,1,lgss,27.0295551343,0.4758680383,4.1263163
BSD68,test036.png,10,1,original,23.8148083930053,0.358083924618529,4.1278731
BSD68,test036.png,10,1,tv,17.261087545,0.2294335582,1.0913817
BSD68,test037.png,10,1,adaptive,22.6286644451723,0.568389992853938,4.5941296
BSD68,test037.png,10,1,bilateral,30.4467437546013,0.833784466008097,0.5270689
BSD68,test037.png,10,1,guided,29.5816871267667,0.818002297882065,0.0120308
BSD68,test037.png,10,1,l0,21.882295444177,0.550767490171348,2.2108693
BSD68,test037.png,10,1,lgss,25.3600232675,0.6719670086,4.0830314
BSD68,test037.png,10,1,original,18.8918806278356,0.47150302257269,4.4753969
