Metric,Dataset,Sigma,Comparison,Mean_Diff,CI_Lower,CI_Upper,Std_Diff,N
SSIM,Kodak24,50,Adaptive vs tv,0.0486134331931491,0.0405274918128867,0.0566993745734116,0.0191490659178604,24
PSNR,Set12,10,Adaptive vs bilateral,-9.11467012816693,-10.0939196845577,-8.13542057177616,1.54122800617836,12
PSNR,Set12,10,Adaptive vs guided,-7.51145017627308,-8.54626705341158,-6.47663329913459,1.62868468196215,12
PSNR,Set12,10,Adaptive vs l0,0.0125802731615083,-0.622486223014281,0.647646769337298,0.99952281142633,12
PSNR,Set12,10,Adaptive vs lgss,-2.68771638417173,-3.1577570915325,-2.21767567681096,0.739790891402987,12
PSNR,Set12,10,Adaptive vs original,3.44431323732593,2.93277275414317,3.9558537205087,0.805106843122916,12
PSNR,Set12,10,Adaptive vs tv,4.86249693824493,3.90198696209796,5.8230069143919,1.51173402713361,12
SSIM,Set12,10,Adaptive vs bilateral,-0.201754606870614,-0.23788272138791,-0.165626492353317,0.0568615645941187,12
SSIM,Set12,10,Adaptive vs guided,-0.17820515575078,-0.21269527491963,-0.143715036581929,0.0542835452439553,12
SSIM,Set12,10,Adaptive vs l0,0.0254271571260742,0.00440790673605044,0.046446407516098,0.0330819219253776,12
SSIM,Set12,10,Adaptive vs lgss,-0.0742005705931516,-0.0932405384561164,-0.0551606027301868,0.0299667551704534,12
SSIM,Set12,10,Adaptive vs original,0.126175520636548,0.0966900686737959,0.1556609725993,0.0464067653063973,12
SSIM,Set12,10,Adaptive vs tv,0.405752922031848,0.350754378346088,0.460751465717609,0.0865614850416045,12
PSNR,Set12,20,Adaptive vs bilateral,-1.97652761727443,-2.40120027096612,-1.55185496358273,0.668386708021695,12
PSNR,Set12,20,Adaptive vs guided,-1.44563094241013,-1.9997065918666,-0.891555292953667,0.872052382266281,12
PSNR,Set12,20,Adaptive vs l0,2.28850697007434,1.93522887107645,2.64178506907224,0.556019756753129,12
PSNR,Set12,20,Adaptive vs lgss,-0.644788152284033,-1.00055261409335,-0.28902369047472,0.559933010502871,12
PSNR,Set12,20,Adaptive vs original,5.3583453582971,4.78125995116621,5.93543076542799,0.908267137444623,12
PSNR,Set12,20,Adaptive vs tv,7.87143900935763,7.26012581725728,8.48275220145799,0.962137798340127,12
SSIM,Set12,20,Adaptive vs bilateral,0.0622566083040249,0.030192640169414,0.0943205764386358,0.0504650580189311,12
SSIM,Set12,20,Adaptive vs guided,0.077444667170467,0.0452569083099802,0.109632426030954,0.0506598906153618,12
SSIM,Set12,20,Adaptive vs l0,0.0632311114254213,0.0325444288390675,0.0939177940117751,0.048297366396683,12
SSIM,Set12,20,Adaptive vs lgss,-0.0463355870270329,-0.0608566615516374,-0.0318145125024284,0.0228545283386299,12
SSIM,Set12,20,Adaptive vs original,0.154234210382285,0.114049454818784,0.194418965945786,0.0632462586188654,12
SSIM,Set12,20,Adaptive vs tv,0.4703136995563,0.433658258103884,0.506969141008717,0.0576915175264593,12
PSNR,Set12,25,Adaptive vs bilateral,-0.677422478710717,-0.759790699654627,-0.595054257766807,0.129638260348807,12
PSNR,Set12,25,Adaptive vs guided,-0.538811998370667,-0.740025282913564,-0.33759871382777,0.31668694392433,12
PSNR,Set12,25,Adaptive vs l0,0.824300534067699,0.22708312354168,1.42151794459372,0.939952632986147,12
PSNR,Set12,25,Adaptive vs lgss,-0.943646348756583,-1.32988502323201,-0.557407674281153,0.607895973284661,12
PSNR,Set12,25,Adaptive vs original,3.63019924366909,2.79881807663827,4.46158041069992,1.30849989165156,12
PSNR,Set12,25,Adaptive vs tv,7.24902031540175,6.97565168762699,7.52238894317651,0.430251290273624,12
SSIM,Set12,25,Adaptive vs bilateral,0.0462521518637224,0.0336325237939655,0.0588717799334793,0.0198618667547319,12
SSIM,Set12,25,Adaptive vs guided,0.0525076993904168,0.0388839918028913,0.0661314069779423,0.021442174310774,12
